Low & middle income,-1413406,-1544616,-2533275,-4243223,-3848719,-265885,-1600633
Lesotho,8959,398,-16279,-22692,-4129,-1490,-1490
Late-demographic dividend,-123085,-55253,-963875,-132851,174084,-128646,60109
Lithuania,9117,7892,-20394,-35453,-18912,-12625,-11853
Luxembourg,2830,961,4225,6190,11373,6952,6949
Latvia,11464,5557,-20017,-17620,-11163,-7381,-6815
"Macao SAR, China",-1513,6397,3740,11407,6465,8441,4004
St. Martin (French part),56,2009,-704,150,-662,-949,-948
Morocco,-52014,-56186,-97336,-58941,-81202,-33807,-46242
Monaco,504,500,290,-137,1019,206,206
Moldova,2779,-6410,-25033,-51269,-59404,-14278,-14278
Madagascar,-5174,-1956,485,485,485,-742,-742
Maldives,-140,-472,-518,195,12526,1134,1189
Middle East & North Africa,440626,194098,-142826,1196455,427751,-1699850,-367806
Mexico,-113208,-588611,-313979,-318048,-82173,-9949,-52649
Marshall Islands,-194,-18,-743,-1637,-1901,-1901,-1901
Middle income,-1286048,-1095828,-2649066,-4369397,-2152525,-538467,-1257458
North Macedonia,1,-13489,-3605,-2250,-1378,-486,-486
Mali,-26632,-63524,-67932,-17436,-48947,-14978,-22236
Malta,-1037,381,1530,456,9443,10854,10408
Myanmar,-52795,6076,-75127,-185133,-94128,-66228,-35382
Middle East & North Africa (excluding high income),208947,-112905,-285098,133256,-240681,-67916,-140967
Montenegro,-784,-3155,-3124,-1986,-1943,-1326,-101
Mongolia,5435,-793,-8617,-8663,3932,0,0
Northern Mariana Islands,-175,2669,784,-4365,-866,-431,-431
Mozambique,64299,-39678,72493,-52323,30414,11745,-9515
Mauritania,-1477,-2998,-22996,-18723,-3018,-1494,-1494
Mauritius,-3210,807,-1305,-3221,-2747,-478,-478
Malawi,5145,70875,-66368,-31428,-6449,-1775,-1775
Malaysia,-15218,50994,94297,245376,80603,57483,46165
North America,962000,798871,1816215,1334092,1454272,871032,757052
Namibia,-553,2090,5712,-8195,-8596,-4301,-4301
New Caledonia,1579,48,1072,83,-2230,-1182,-1182
Niger,-3256,-6141,3837,-9710,17051,-4403,-4405
Nigeria,75448,19791,43504,-46749,-145917,-4824,-76364
Nicaragua,-9349,-23848,-25888,-33283,-24359,-10384,-10384
Netherlands,32971,19149,38760,13610,57677,58816,57439
Norway,3311,6558,6522,18467,30329,10756,10604
Nepal,-6677,-30173,-86300,-238799,-221059,306664,296541
Nauru,0,26,-201,-234,-31,-68,-66
New Zealand,12858,-13674,26133,19148,47165,38220,38220
OECD members,785190,651881,2117819,2933263,3531505,2540918,2433502
Oman,5632,33818,-15515,-630,134260,-164408,-20664
Other small states,69188,42561,-16054,140390,229653,-210580,-32353
Pakistan,-3437,282435,296208,-632467,-2172159,-588736,-471395
Panama,-2635,-2297,1221,3843,8648,5473,5473
Peru,-34423,-23587,-46443,-221582,2462,79456,68012
Philippines,-191812,-185754,-143386,-223074,6954,-41937,-80125
Palau,-269,185,283,-277,8,7,3
Papua New Guinea,-23563,-25472,40951,46016,30581,10695,10695
Poland,-28852,-12963,-48065,-21324,-25426,-779,-2968
Pre-demographic dividend,51378,-717212,-482410,18662,-877524,57214,-647431
Puerto Rico,-383,-13613,-8680,-33430,-64764,-7408,-7408
"Korea, Dem. People's Rep.",0,0,-3093,-2860,-3200,-1589,-1589
Portugal,43650,-16080,30130,17155,-10124,40535,27295
Paraguay,-3803,-3564,-7653,-42163,-16833,-8230,-8230
West Bank and Gaza,-11596,-31640,8763,-28157,-22904,-12369,-12369
Pacific island small states,-10121,-10556,-25582,-21268,-23389,-11924,-11748
Post-demographic dividend,1188325,1271571,2554376,3276194,3241249,2267432,2195799
